text,created_at,likes,retweet_count,followers_count
0.4404,2021-12-26 11:31:04+00:00,0,350,19
-0.2516,2021-12-26 11:31:02+00:00,0,6,2942
0.4404,2021-12-26 11:30:56+00:00,0,350,133
0.7964,2021-12-26 11:30:41+00:00,0,9,12
0.0,2021-12-26 11:30:35+00:00,0,0,3
0.6249,2021-12-26 11:30:14+00:00,0,0,170
-0.4215,2021-12-26 11:30:12+00:00,0,1,390
-0.296,2021-12-26 11:30:08+00:00,0,0,257
0.0772,2021-12-26 11:30:05+00:00,0,0,125
0.4404,2021-12-26 11:30:03+00:00,0,0,28
0.4019,2021-12-26 11:30:02+00:00,0,0,77
0.836,2021-12-26 11:30:01+00:00,0,9256,0
0.34,2021-12-26 11:30:00+00:00,0,581,385
0.5994,2021-12-26 11:29:52+00:00,0,2,776
-0.8225,2021-12-26 11:29:40+00:00,0,501,143
0.25,2021-12-26 11:29:28+00:00,0,573,0
0.3612,2021-12-26 11:29:26+00:00,0,0,55
0.2263,2021-12-26 11:29:25+00:00,0,496,212
0.5574,2021-12-26 11:29:02+00:00,0,236,1737
0.25,2021-12-26 11:28:56+00:00,0,573,0
0.3612,2021-12-26 11:28:51+00:00,0,0,0
0.3612,2021-12-26 11:28:40+00:00,0,445,0
0.0,2021-12-26 11:28:24+00:00,0,1,33
0.4767,2021-12-26 11:28:13+00:00,0,0,38
0.4215,2021-12-26 11:27:51+00:00,0,209,47
0.0,2021-12-26 11:27:48+00:00,0,437,18
0.7845,2021-12-26 11:27:42+00:00,0,4,33
0.4215,2021-12-26 11:27:34+00:00,0,3388,85
0.0,2021-12-26 11:27:32+00:00,0,1,316
0.296,2021-12-26 11:27:21+00:00,0,184,66
-0.3818,2021-12-26 11:27:13+00:00,0,57,101
0.4404,2021-12-26 11:27:09+00:00,0,350,1609
-0.8225,2021-12-26 11:27:04+00:00,0,501,0
0.0,2021-12-26 11:26:58+00:00,0,0,330
-0.4215,2021-12-26 11:26:55+00:00,0,0,603
0.34,2021-12-26 11:26:52+00:00,0,581,168
0.2023,2021-12-26 11:26:42+00:00,0,6,24
0.0,2021-12-26 11:26:40+00:00,0,437,4089
0.4019,2021-12-26 11:26:35+00:00,0,1,70575
0.0,2021-12-26 11:26:12+00:00,0,64,333
0.0,2021-12-26 11:25:47+00:00,0,0,478
-0.4497,2021-12-26 11:25:44+00:00,0,0,154
