,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-12-08,625.51001,651.280029,618.5,649.880005,649.880005,64265000
1,2020-12-09,653.690002,654.320007,588.0,604.47998,604.47998,71291200
2,2020-12-10,574.369995,627.75,566.340027,627.070007,627.070007,67083200
3,2020-12-11,615.01001,624.0,596.799988,609.98999,609.98999,46475000
4,2020-12-14,619.0,642.75,610.200012,639.830017,639.830017,52040600
5,2020-12-15,643.280029,646.900024,623.799988,633.25,633.25,45071500
6,2020-12-16,628.22998,632.5,605.0,622.77002,622.77002,42095800
7,2020-12-17,628.190002,658.820007,619.5,655.900024,655.900024,56270100
8,2020-12-18,668.900024,695.0,628.539978,695.0,695.0,222126200
9,2020-12-21,666.23999,668.5,646.070007,649.859985,649.859985,58045300
10,2020-12-22,648.0,649.880005,614.22998,640.340027,640.340027,51716000
11,2020-12-23,632.200012,651.5,622.570007,645.97998,645.97998,33173000
12,2020-12-24,642.98999,666.090027,641.0,661.77002,661.77002,22865600
13,2020-12-28,674.51001,681.400024,660.799988,663.690002,663.690002,32278600
14,2020-12-29,661.0,669.900024,655.0,665.98999,665.98999,22910800
15,2020-12-30,672.0,696.599976,668.359985,694.780029,694.780029,42846000
16,2020-12-31,699.98999,718.719971,691.119995,705.669983,705.669983,49649900
17,2021-01-04,719.460022,744.48999,717.190002,729.77002,729.77002,48638200
18,2021-01-05,723.659973,740.840027,719.200012,735.109985,735.109985,32245200
19,2021-01-06,758.48999,774.0,749.099976,755.97998,755.97998,44700000
20,2021-01-07,777.630005,816.98999,775.200012,816.039978,816.039978,51498900
21,2021-01-08,856.0,884.48999,838.390015,880.02002,880.02002,75055500
22,2021-01-11,849.400024,854.429993,803.619995,811.190002,811.190002,59301600
23,2021-01-12,831.0,868.0,827.340027,849.440002,849.440002,46270700
24,2021-01-13,852.76001,860.469971,832.0,854.409973,854.409973,33312500
25,2021-01-14,843.390015,863.0,838.75,845.0,845.0,31266300
26,2021-01-15,852.0,859.900024,819.099976,826.159973,826.159973,38777600
27,2021-01-19,837.799988,850.0,833.0,844.549988,844.549988,25367000
28,2021-01-20,858.73999,859.5,837.280029,850.450012,850.450012,25665900
29,2021-01-21,855.0,855.719971,841.419983,844.98999,844.98999,20521100
30,2021-01-22,834.309998,848.0,828.619995,846.640015,846.640015,20066500
31,2021-01-25,855.0,900.400024,838.820007,880.799988,880.799988,41173400
32,2021-01-26,891.380005,895.900024,871.599976,883.090027,883.090027,23131600
33,2021-01-27,870.349976,891.5,858.659973,864.159973,864.159973,27334000
34,2021-01-28,820.0,848.0,801.0,835.429993,835.429993,26378000
35,2021-01-29,830.0,842.409973,780.099976,793.530029,793.530029,34990800
36,2021-02-01,814.289978,842.0,795.559998,839.809998,839.809998,25391400
37,2021-02-02,844.679993,880.5,842.200012,872.789978,872.789978,24346200
38,2021-02-03,877.02002,878.080017,853.059998,854.690002,854.690002,18343500
39,2021-02-04,855.0,856.5,833.419983,849.98999,849.98999,15812700
40,2021-02-05,845.0,864.77002,838.969971,852.22998,852.22998,18566600
41,2021-02-08,869.669983,877.77002,854.75,863.419983,863.419983,20161700
42,2021-02-09,855.119995,859.799988,841.75,849.460022,849.460022,15157700
43,2021-02-10,843.640015,844.820007,800.02002,804.820007,804.820007,36216100
44,2021-02-11,812.440002,829.880005,801.72998,811.659973,811.659973,21622800
45,2021-02-12,801.26001,817.330017,785.330017,816.119995,816.119995,23768300
46,2021-02-16,818.0,821.0,792.440002,796.219971,796.219971,19802300
47,2021-02-17,779.090027,799.840027,762.01001,798.150024,798.150024,25996500
48,2021-02-18,780.900024,794.690002,776.27002,787.380005,787.380005,17957100
49,2021-02-19,795.0,796.789978,777.369995,781.299988,781.299988,18958300
50,2021-02-22,762.640015,768.5,710.200012,714.5,714.5,37269700
51,2021-02-23,662.130005,713.609985,619.0,698.840027,698.840027,66606900
52,2021-02-24,711.849976,745.0,694.169983,742.02002,742.02002,36767000
53,2021-02-25,726.150024,737.210022,670.580017,682.219971,682.219971,39023900
54,2021-02-26,700.0,706.700012,659.51001,675.5,675.5,41089200
55,2021-03-01,690.109985,719.0,685.049988,718.429993,718.429993,27136200
56,2021-03-02,718.280029,721.109985,685.0,686.440002,686.440002,23732200
57,2021-03-03,687.98999,700.700012,651.710022,653.200012,653.200012,30208000
58,2021-03-04,655.799988,668.450012,600.0,621.440002,621.440002,65919500
59,2021-03-05,626.059998,627.840027,539.48999,597.950012,597.950012,89396500
60,2021-03-08,600.549988,620.130005,558.789978,563.0,563.0,51787000
61,2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300
62,2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700
63,2021-03-11,699.400024,702.5,677.179993,699.599976,699.599976,36253900
64,2021-03-12,670.0,694.880005,666.140015,693.72998,693.72998,33583800
65,2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600
66,2021-03-16,703.349976,707.919983,671.0,676.880005,676.880005,32195700
67,2021-03-17,656.869995,703.72998,651.01001,701.809998,701.809998,40372500
68,2021-03-18,684.289978,689.22998,652.0,653.159973,653.159973,33224800
69,2021-03-19,646.599976,657.22998,624.619995,654.869995,654.869995,42894000
70,2021-03-22,684.590027,699.619995,668.75,670.0,670.0,39512200
71,2021-03-23,675.77002,677.799988,657.51001,662.159973,662.159973,30491900
72,2021-03-24,667.909973,668.02002,630.109985,630.27002,630.27002,33795200
73,2021-03-25,613.0,645.5,609.5,640.390015,640.390015,39224900
74,2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
75,2021-03-29,615.640015,616.47998,596.02002,611.289978,611.289978,28637000
76,2021-03-30,601.75,637.659973,591.01001,635.619995,635.619995,39432400
77,2021-03-31,646.619995,672.0,641.109985,667.929993,667.929993,33337300
